session,channel,bin_le_size,count
DRV-072-20250929,IncrementalA,80,561
DRV-072-20250929,IncrementalA,128,18447176
DRV-072-20250929,IncrementalA,192,2942134
DRV-072-20250929,IncrementalA,256,108826
DRV-072-20250929,IncrementalA,384,184368
DRV-072-20250929,IncrementalA,512,106077
DRV-072-20250929,IncrementalA,768,110089
DRV-072-20250929,IncrementalA,1024,57507
DRV-072-20250929,IncrementalA,1500,251475
DRV-072-20250929,IncrementalA,-1,0
DRV-072-20250929,IncrementalB,80,561
DRV-072-20250929,IncrementalB,128,18447176
DRV-072-20250929,IncrementalB,192,2942134
DRV-072-20250929,IncrementalB,256,108826
DRV-072-20250929,IncrementalB,384,184368
DRV-072-20250929,IncrementalB,512,106077
DRV-072-20250929,IncrementalB,768,110089
DRV-072-20250929,IncrementalB,1024,57507
DRV-072-20250929,IncrementalB,1500,251475
DRV-072-20250929,IncrementalB,-1,0
DRV-072-20250929,SnapshotRecovery,80,6906
DRV-072-20250929,SnapshotRecovery,128,3734
DRV-072-20250929,SnapshotRecovery,192,13
DRV-072-20250929,SnapshotRecovery,256,20
DRV-072-20250929,SnapshotRecovery,384,2753
DRV-072-20250929,SnapshotRecovery,512,39
DRV-072-20250929,SnapshotRecovery,768,43
DRV-072-20250929,SnapshotRecovery,1024,26
DRV-072-20250929,SnapshotRecovery,1500,526374
DRV-072-20250929,SnapshotRecovery,-1,0
DRV-072-20250929,InstrumentDefinition,80,107983
DRV-072-20250929,InstrumentDefinition,128,0
DRV-072-20250929,InstrumentDefinition,192,0
DRV-072-20250929,InstrumentDefinition,256,0
DRV-072-20250929,InstrumentDefinition,384,0
DRV-072-20250929,InstrumentDefinition,512,0
DRV-072-20250929,InstrumentDefinition,768,0
DRV-072-20250929,InstrumentDefinition,1024,0
DRV-072-20250929,InstrumentDefinition,1500,431925
DRV-072-20250929,InstrumentDefinition,-1,0
