session,channel,bin_le_size,count
EQT-084-20250331,IncrementalA,80,576696
EQT-084-20250331,IncrementalA,128,15229944
EQT-084-20250331,IncrementalA,192,9305013
EQT-084-20250331,IncrementalA,256,241728
EQT-084-20250331,IncrementalA,384,78400
EQT-084-20250331,IncrementalA,512,21640
EQT-084-20250331,IncrementalA,768,18494
EQT-084-20250331,IncrementalA,1024,6091
EQT-084-20250331,IncrementalA,1500,20670
EQT-084-20250331,IncrementalA,-1,0
EQT-084-20250331,IncrementalB,80,576696
EQT-084-20250331,IncrementalB,128,15229944
EQT-084-20250331,IncrementalB,192,9305013
EQT-084-20250331,IncrementalB,256,241728
EQT-084-20250331,IncrementalB,384,78400
EQT-084-20250331,IncrementalB,512,21640
EQT-084-20250331,IncrementalB,768,18494
EQT-084-20250331,IncrementalB,1024,6091
EQT-084-20250331,IncrementalB,1500,20670
EQT-084-20250331,IncrementalB,-1,0
EQT-084-20250331,SnapshotRecovery,80,254
EQT-084-20250331,SnapshotRecovery,128,2
EQT-084-20250331,SnapshotRecovery,192,3
EQT-084-20250331,SnapshotRecovery,256,0
EQT-084-20250331,SnapshotRecovery,384,7
EQT-084-20250331,SnapshotRecovery,512,12
EQT-084-20250331,SnapshotRecovery,768,7
EQT-084-20250331,SnapshotRecovery,1024,34
EQT-084-20250331,SnapshotRecovery,1500,538709
EQT-084-20250331,SnapshotRecovery,-1,0
EQT-084-20250331,InstrumentDefinition,80,127
EQT-084-20250331,InstrumentDefinition,128,0
EQT-084-20250331,InstrumentDefinition,192,0
EQT-084-20250331,InstrumentDefinition,256,0
EQT-084-20250331,InstrumentDefinition,384,50
EQT-084-20250331,InstrumentDefinition,512,0
EQT-084-20250331,InstrumentDefinition,768,1
EQT-084-20250331,InstrumentDefinition,1024,66
EQT-084-20250331,InstrumentDefinition,1500,538784
EQT-084-20250331,InstrumentDefinition,-1,0
